,Phenotype,Latency,Dur.Display,N.Display,T.Mirror,N.Quad
1,longfin,12.3039,94.04,18,129.34,234
2,longfin,13.49,4.52,10,27.24,122
3,longfin,113035,28654,9,39.31,39
4,longfin,14122,39.31,3,72.13,145
5,longfin,50066,78.83,32,93.01,86
6,longfin,41944,48.54,17,72.05,122
7,longfin,66483,41.49,13,65.35,36
8,longfin,10476,28.4,18,64.5,268
9,longfin,12196,47.68,11,67.57,165
10,longfin,9661,141.49,2,167.82,126
11,longfin,192445,6.2,10,8.78,94
12,longfin,30.12,16.89,0,76.35,232
13,longfin,25451,89.08,11,105.1,121
14,longfin,43827,44.83,8,66.61,146
15,longfin,114135,41.5,14,67.57,161
16,leopard,120836,2.12,13,35.36,87
17,leopard,179.9176,5.94,3,13.02,166
18,leopard,205.0404,15.12,1,35,88
19,leopard,106762,35.41,15,52.92,120
20,leopard,101673,23.37,6,48.9,203
21,leopard,34967,11.65,5,18.6,170
22,leopard,119819,18.71,4,46.35,67
23,leopard,109988,26.05,6,37.6,65
24,leopard,71097,16.31,6,16.31,5
25,leopard,109988,18.71,1,54.9,165
26,leopard,204036,2.12,6,35.16,48
27,leopard,114866,20.66,5,21.52,196
28,leopard,43226,18.71,1,35.36,186
29,leopard,119743,16.91,3,23.37,115
30,leopard,233759,17.81,1,35.08,40
31,leopard,114866,14.19,3,42.74,245
